company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,alexa_ranking,crunchbase_url,market_cap,company_email
Metcash,https://www.linkedin.com/company/metcash,https://www.linkedin.com/company/16606,metcashcareers.com,"At Metcash, we’re the power behind an independent Australia & New Zealand. From the humble origins of our first family-owned corner store in 1927, we’ve been backing independents and strengthening the communities they operate in for almost 100 years. With a national network of more than 10,000 independent retailers and a further 90,000 wholesalers, we’re the driving force behind local, family-owned businesses – sticking up for the little guys and helping them become the best stores in town.  And while we may be large in size, we’ll always be locals at heart.Today we’re Australia and New Zealand’s leading independent retail partner and wholesaler in food, liquor and hardware. We have over 80 years of experience supporting and championing the interests of independent grocery, liquor and hardware sectors. Headquartered in Sydney, our world class distribution facilities across the country allow us to operate on a huge scale to unite Australia's independent grocers, delivering products to more than 10,000 retail premises and a further 90,000 wholesale customers across the food, grocery, liquor and hardware markets. Our network of Successful Independents includes a large portfolio of brands such as IGA, Foodland, Mitre 10, Home Timber & Hardware, Cellarbrations and the Bottle-O. At Metcash we have a single purpose - Successful Independents - it is at the heart of everything we do. Success starts with our people. Employing over 6,000 people, Metcash champions the interests of the independent retail industry. We are a team of people who are resilient and empowered, who take initiative and pride in their work and above all operate with integrity. Our core operations are key to providing our customers and retailers with merchandising, operations and marketing support through our strong retail brands.  Whilst we operate on a huge scale, we think big but we act local. We believe that independence is worth fighting for and this is at the core of our business divisions. ",,2329,"Macquarie Park, New South Wales, Australia",,,Macquarie Park,,,,,,wholesale,,,,"Retail,Liquor,Grocery,Hardware,Wholesale,Marketing,Food & Drinks,Logistics,Support Services,Distribution,Fresh Food",1001-5000,,,,,,,,,,,,
Cue Clothing Co.,https://www.linkedin.com/company/cue-clothing-co-,https://www.linkedin.com/company/2622363,cue.com,"Cue Clothing Co. is a proudly Australian-owned and operated leader in the retail fashion industry. Established with the brand Cue in 1968, the company now encompasses two recognised Australian brands Cue and Veronika Maine. The company’s unrivalled influence on Australian fashion is emphasised by their continued evolution and relevance. Drawing on 55 years of industry excellence, both Cue and Veronika Maine are recognisable for attention to detail, innovative fabrications and signature silhouettes. The company’s unique market position has proudly been solidified by countless industry awards including a coveted Australian Fashion Laureate, representation at Afterpay Australian Fashion Week, ethical accreditation and certification under the Australian Fashion Trademark.",1968,418,"Surry Hills, New South Wales, Australia",,,Surry Hills,,,"level 7, 50 holt street, surry hills, nsw 2010, au",2010,+6494443057,retail,,,,"Fashion,Design,Retail",201-500,https://www.facebook.com/cue,"design, retail, accessories, fashion, shopping, women's clothing",600000000,"Zendesk, Typekit, Turn, Rackspace MailGun, Outlook, New Relic, Mobile Friendly, Microsoft Office 365, Media Temple SSL, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Cloudflare DNS, CloudFlare Hosting, ASP.NET",,,,,728471,,,
VANITY GROUP | Certified B Corp,https://www.linkedin.com/company/vanitygroupglobal,https://www.linkedin.com/company/2894221,vanitygroup.com,"VANITY GROUP is dedicated to elevating guest cosmetics from essential items to an experience that rivals even the sweetest suite.  Now one of the world’s most influential luxury amenity providers, VANITY GROUP has offices in London, Sydney, Dubai and Shanghai.  Renowned as hospitality’s house of beauty, VANITY GROUP partners include the most sought-after fashion, beauty, premium skincare, fine fragrance, lifestyle and spa brands to create unforgettable hotel experiences. Ready to join the beauty parade? Visit: vanitygroup.com",2011,129,"Marrickville, New South Wales, Australia",,,Marrickville,,,"4 - 6 meeks road, merrickville, nova scotia, ca, none",2204,+61295577644,personal care product manufacturing,"health, wellness and fitness",,,"Hotel Amenities,Beauty Retail,Skin care,Hair care,Body care,Luxury,Supplier,Fragrance,Luxury amenities,R&D,Clean formulations,Bath and body,Innovation,EcoPure,Corporate responsibility,Paraben free,Eco responsibility",51-200,"https://twitter.com/VanityGroupAU, https://www.facebook.com/VanityGroupGlobal","innovation, r, fragrance, luxury, d, body care, skin care, hair care, beauty retail, supplier, corporate responsibility, hotel amenities, luxury amenities, paraben free, bath & body, eco responsibility, clean formulations, ecopure",8295000,"Sendgrid, Outlook, Mobile Friendly, Microsoft Office 365, Freshbooks",,,,,,,,
7-Eleven Australia,https://www.linkedin.com/company/7-eleven-australia,https://www.linkedin.com/company/110966,7eleven.com.au,"7-Eleven Australia is locally operated, with approximately 750 stores across Victoria, NSW, ACT, QLD and Western Australia.    There are more than 450 small family-owned businesses in the 7-Eleven franchise network.  Approximately 9,000 Australians work under the 7-Eleven brand, employed directly by 7-Eleven or indirectly through franchised stores,  and these teams serve an average of seven customers every second across Australia.  ",1977,1384,"Cremorne, Victoria, Australia",,,Richmond,,,,,+61396637860,retail,,,,"Convenience,Retail,Food on the go,Fuel",1001-2000,"https://twitter.com/7elevenaus, https://www.facebook.com/7ElevenAustralia/","retail, food, convenience, convenience stores, fuel, food on the go",,"React, Netlify, YouTube, Workday Recruit, Tealium, ServiceNow, Sendgrid, Outlook, Mobile Friendly, Microsoft Office 365, Microsoft Application Insights, MailChimp SPF, DigitalOcean, Apache, Adobe Marketing Cloud",,,,,300883,,,
Bendigo and Adelaide Bank,https://www.linkedin.com/company/bendigo-and-adelaide-bank,https://www.linkedin.com/company/162688,bendigoadelaide.com.au,"Our vision is to be Australia’s bank of choice. We strive for lasting success and commit to take the time to better understand our customers, partners and their communities to find ways to solve their problems, in a way that helps create value. Our purpose is to feed into the prosperity of our customers and their communities, not off it. As a company we value teamwork, encourage diversity and respect the contribution of each individual. We build a culture of trust and are open, honest and fair. We listen, understand – then deliver. We build our success through the success of others. We all lead by example. We show initiative, are accountable and empower others. We believe in the importance of what we do and are proud of our enviable reputation as a bank.",,4752,"Bendigo, Victoria, Australia",,,Bendigo,,,,,,banking,,,,Retail Banking,1001-5000,,,,,,,,,,,,
Kogan.com,https://www.linkedin.com/company/kogan,https://www.linkedin.com/company/1019795,kogan.com,"We’re Kogan.com - pioneers of Australian e-commerce.We were born in a south-eastern suburb Melbourne garage in 2006 from a young entrepreneur's idea to revolutionise the supply-chain to make the latest products more affordable. Now, we’re the largest Australian pure-play online retail website with hundreds of thousands of visitors each day and a customer base of millions of Aussie and New Zealand shoppers. Our success is built off technology and digital efficiency to make the most in-demand products and services more affordable and accessible for all.We love being pushed outside our comfort zone and being challenged to continuously deliver the best value to our customers and that sets us apart from the rest.",2006,206,"South Melbourne, Victoria, Australia",,,South Melbourne,,,"139 gladstone street, south melbourne, victoria, australia",3205,+611300517210,retail,,,,"Retail,Consumer Electronics,Technology,eCommerce,Digital Marketing,Sports & Outdoors,Gadgets,Tools & Automotive,Fashion & Accessories,Home & Garden,Telecommunications,Travel,Health & Beauty",201-500,"https://twitter.com/kogan, https://www.facebook.com/kogantravel/","digital marketing, ecommerce, technology, retail, consumer electronics, automotive, accessories, fashion, sports, travel, health, beauty, telecommunications, home, tools, gadgets, outdoors, garden",302613000,"React Redux, Netlify, Afterpay, Zendesk, WordPress.org, Varnish, SparkPost, Segment.io, Salesforce, Ruby On Rails, Pagely, New Relic, NSOne, Mobile Friendly, Mixpanel, Microsoft Application Insights, Mailchimp Mandrill, MailChimp SPF, Magento, Lever, Gunicorn, Google Tag Manager, Google Play, Google Font API, Google Apps, Google Analytics, Gmail, Formstack, Fastly CDN, Cloudinary, Adobe Marketing Cloud",,,,,11362,,,
Parkview Constructions,https://www.linkedin.com/company/parkview-group-australia-pty-ltd,https://www.linkedin.com/company/2366154,parkview.com.au,"We believe in making long lasting contributions to the communities in which we work, for we know that the physical space is a powerful force in facilitating community, connections and a great quality of life for those who use it.Our business philosophy is to build long lasting relationships and exceptional projects with all our clients and partners. We are here for the long-term – just like our buildings. That is why integrity, excellence and innovation is at the heart of everything we do in property.We work in true partnership and do the right thing by all stakeholders involved in our projects.At the core of our organisation are our people, a dedicated team with the required expertise in property and robust processes and procedures in place to deliver certainty.We are the people in the property industry you can seek for advice and who will partner with you.We are Parkview.",,156,"Pyrmont, New South Wales, Australia",,,Pyrmont,,,,,,construction,,,,"Construction,Property Development,Projects,Interiors,Design & Construction,Residential,Commercial,Build-to-rent,Mixed-Use,Master-planned Communities,Hotels,Aged Care,Retail,Early Contractor Involvement",51-200,,,,,,,,,,,,
Walker Corporation,https://www.linkedin.com/company/walker-corporation,https://www.linkedin.com/company/1287550,walkercorp.com.au,"We are Australia's largest private property company, specialising in urban transformation. Our expertise spans all sectors, including masterplanned communities, heritage restorations, commercial, retail, industrial, and island luxury, all underpinned by sustainability excellence.Our late founder, Lang Walker AO, led our company to many accolades, instilling a philosophy to always challenge what others say is impossible. With a $35 billion pipeline over the next 20 years, we are proud to carry on Lang's legacy.For more information about Walker Corporation and our projects, visit: www.walkercorp.com.au",,285,"Millers Point, New South Wales, Australia",,,Sydney,,,"l 50 governor phillip tower 1 farrer pl, sydney, new south wales, au, 2000",2000,+61429340482,construction,,,,"Master planned communities,Commercial property,Retail property,Industrial property,Residential property,Project management,Property development,Property management,Leasing,Hospitality,Resort development,masterplanned communities,placemaking,placemakers,communities",201-500,,"project management, leasing, hospitality, property management, communities, placemaking, property development, industrial property, commercial property, retail property, residential property, master planned communities, resort development, masterplanned communities, placemakers",7526000,"reCAPTCHA, Outlook, Nginx, Mobile Friendly, Microsoft Office 365, Google Analytics",,,,,677831,,,
Reece Group,https://www.linkedin.com/company/reece-limited,https://www.linkedin.com/company/414782,reece.com,"Reece Group is a leading distributor of plumbing, waterworks and HVAC-R products to commercial and residential customers through over 800 branches in Australia, New Zealand and the United States.Established in 1920 and listed on the Australian Securities Exchange (ASX: REH), Reece Group has approximately 9,000 employees committed to improving the lives of its customers by striving for greatness every day.For further information on Reece Group and its portfolio of businesses please visit https://group.reece.com. ",,2388,"Cremorne, Victoria, Australia",,,Cremorne,,,,,,wholesale building materials,,,,"Plumbing,Waterworks,HVAC-R,Technology,Retail,Wholesale,Commercial,Supply Chain,Merchandising,Trade,Bathrooms,Refrigeration,eCommerce,Wholesale Distribution",1001-5000,,,,,,,,,,,,
Pet Circle,https://www.linkedin.com/company/petcircle,https://www.linkedin.com/company/2259198,petcircle.com.au,"Since we were founded in 2011, Pet Circle’s aim has been simple, to provide our community of loving pet parents with all of their pet needs, from the comfort of their own homes. We are a true specialist for everything ‘pet’ because we believe pets deserve better.Fast forward ten years and today we support over 700,000 loyal customers with a better range, better price and better experience.Our have over 700 team members and we are a fast-growing leader in the Australian eCommerce space. We're also incredibly proud to be Australia’s largest online pet retailer.",2011,343,"Millers Point, New South Wales, Australia",,,Sydney,,,"9 castlereagh st, sydney, new south wales 2000, au",2000,+611300608003,retail,,,,"Retail,Pet Food,Pet supplies,Delivery,eCommerce,Consumer Service",201-500,"https://twitter.com/PetCircleau, http://www.facebook.com/petcircle.aus, http://angel.co/pet-circle-formerly-paws-for-life","information technology, consumer internet, internet, ecommerce, e-commerce, retail, delivery, pet food, subscription businesses, pet supplies, consumer service",100000000,"Atlassian Cloud, reCAPTCHA, Zendesk, Varnish, TripleLift, Taboola Newsroom, SessionCam, Sendgrid, Paypal, New Relic, NSOne, Mobile Friendly, LiveChat, Kubernetes, Google Tag Manager, Google Apps, Google Analytics Ecommerce Tracking, GoSquared, Gmail, Facebook Login (Connect), DoubleClick, DigitalOcean, Criteo, Braintree, Amplitude","[{""id"":""61dbed3594894b0001ec9722"",""date"":""2021-12-01T00:00:00.000+00:00"",""type"":""Series C"",""amount"":""125M"",""currency"":""$"",""news_url"":null,""investors"":""Prysm Capital, TDM Growth Partners, Baillie Gifford, AirTree Ventures""},{""id"":""615d5ba211d08e00017ca6ce"",""date"":""2017-11-01T00:00:00.000+00:00"",""type"":""Other"",""currency"":""$"",""news_url"":null,""investors"":""Francisco Partners, AirTree Ventures""},{""id"":""61dbed3594894b0001ec9725"",""date"":""2014-08-01T00:00:00.000+00:00"",""type"":""Series B"",""amount"":""3M"",""currency"":""$"",""news_url"":null,""investors"":""Blue Sky Venture Capital""},{""id"":""61dbed3594894b0001ec9727"",""date"":""2013-12-01T00:00:00.000+00:00"",""type"":""Series A"",""amount"":""1.5M"",""currency"":""$"",""news_url"":null,""investors"":""Blue Sky Alternative Investments""},{""id"":""61dbed3594894b0001ec9729"",""date"":""2011-10-01T00:00:00.000+00:00"",""type"":""Seed"",""amount"":""1M"",""currency"":""$"",""news_url"":null,""investors"":""""}]",130500000,2021-12-01,0,82217,,,info@petcircle.com.au
Goodman Fielder,https://www.linkedin.com/company/goodman-fielder-australia,https://www.linkedin.com/company/12511,goodmanfielder.com.au,"Goodman Fielder is a leading regional food company across Australia, New Zealand and Asia Pacific. We manufacture, package, distribute, market and sell a wide range of food products including bread, milk, cheese, chicken, flour, cooking oils, spreads, baking ingredients, ice cream and snacks.We boast a diverse portfolio of consumer brands that people know and love, including Meadow Fresh, Vogel’s, Helga’s, Wonder White, Praise, White Wings, CSR Sugar, Pampas, Puhoi Valley, Crest, Edmonds, Meadow Lea, Molenberg, Irvines and many more.For generations, millions of consumers have turned to our well known brands to deliver essential food items to them every day.Our leading product offering is supported by efficient distribution networks that enables delivery to over tens of thousands of outlets every day including supermarkets, dairies, service stations, cafes and restaurants.From filling your pantry to lining your plate, our products cover every eating occasion.At Goodman Fielder our aspiration is to be the leading integrated food solutions business in the Region. We are a team that believes that anything is possible. A team that understands our business and focuses on the right things that make the biggest difference and one that considers our end to end value chain when making decisions to optimize our business. We drive change as an opportunity for us to innovate and transform our business and to achieve beyond what we think is possible.",1909,2405,"Macquarie Park, New South Wales, Australia",,,Macquarie Park,,,,,+61288997000,food and beverage manufacturing,food production,,,"Retail grocery market,Commercial and Food Services Market.,Employs over 4000 people,FMCG,Dairy Products,Milk,Bread,Sweet bake,Condiments,Flavoured Milk,Speciality Cheese,Food",1001-5000,https://facebook.com/gffoodserviceau/,"fmcg, food, bread, dairy products, milk, condiments, speciality cheese, flavoured milk, retail grocery market, commercial & food services market, employs over 4000 people, sweet bake",1898690000,"Amazon AWS, reCAPTCHA, YouTube, Typekit, Salesforce, Route 53, Outlook, Nginx, Mobile Friendly, Mimecast, Microsoft Office 365, Microsoft Azure Hosting, Google Tag Manager",,,,,412826,,,
Energy Queensland,https://www.linkedin.com/company/energyq,https://www.linkedin.com/company/12175890,energyq.com.au,"Energy Queensland formed in 2016 with the merger of Ergon Energy and Energex, creating a single energy company that powers communities from Tweed Heads up to the Torres Strait and from Brisbane across to Birdsville.Bringing these organisations together is not just about efficiency, but about creating a strong future for the state’s energy system.Energy Queensland provides an opportunity to deliver better outcomes for customers, employees and all Queenslanders, as we effectively manage the state's electricity network and prepare it for the demands of the future.Energy Queensland is finding ways to minimise the impact of electricity network costs on customers, and release funds for better services for all Queenslanders. We also support growth and development of regional Queensland, helping to keep people in local communities.We acknowledge the Traditional Custodians and pay our respect to all Elders past, present and emerging on whose land we walk, work and live on, and their continuing connection to land, sea and community.",2016,2525,"Shelly Beach, Queensland, Australia",,,Townsville,,,"420 Flinders Street, Townsville, Queensland 4810, AU",4810,+61132296,utilities,,,,"Electricity Distribution,Electricity Retail,Energy Services",1001-5000,,"energy services, electricity retail, electricity distribution",,"Mobile Friendly, Mimecast, Google Tag Manager, Google Font API, AddThis",,,,,729227,,,
Total Construction,https://www.linkedin.com/company/totalconstruction-au,https://www.linkedin.com/company/543291,totalconstruction.com.au,"Total Construction (TOTAL) excels in design and construction projects throughout Australia with the people, processes and experience to deliver. We ensure complete flexibility, tailoring our services to our clients, offering numerous delivery models.Since our inception in 1995, Total has consistently grown each year and now has offices in Sydney, Melbourne and Brisbane. We enjoy a very high retention rate amongst our clients and staff, confirming our reputation as a builder that has a solid history in meeting expectations.Total is more than just a builder. With our cross industry knowledge, we can provide smart business solutions which can save our clients’ money and reduce program timeframes. With every project we look to find ways to improve the ‘build ability’ and offer value engineering solutions, where possible, to ensure the best possible outcome for our clients.Our proud record of achievement is the result of customer satisfaction and supported by a deeply valued company culture based on ‘concept to completion’.",,200,"Cabarita, New South Wales, Australia",,,North Strathfield,,,,,,construction,,,,"Aged Care construction,Health construction,Commercial & Industrial construction,Airports & Infrastructure construction,Food & Beverage construction,Process Engineering,Retail & Clubs construction,Fit-out,Self Storage",51-200,,,,,,,,,,,,
BlueRock,https://www.linkedin.com/company/thebluerock,https://www.linkedin.com/company/4791182,bluerock.com.au,"BlueRock is for entrepreneurs, by entrepreneurs. Our business and wealth experts work together to get the best outcomes for business leaders, founders, investors and families with adventurous goals. We know that business is tough and life gets busy, which is why we act as advisors, not just accountants, and bring together lawyers, finance brokers, digital specialists, insurance brokers, financial planners, grant consultants and more. Everyone you need on your team to make life easy for you.From a disruptive startup, BlueRock has grown into a thriving business with over 300 employees. We're recognised in AFR Top 100 lists and as a ‘Best Place to Work’ company for many years. We love what we do, and we understand how to attract and retain the best talent and clients. We also place great importance on giving back to the community and, through our Be BlueRock Foundation and certification as a B Corporation, we strive to have a positive impact on the world.",2008,341,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"414 la trobe st, melbourne, victoria, australia",3000,+61386821111,financial services,,,,"Accounting,Law,Finance,Bookkeeping,Business,Life,Business & Domestic Insurance,Grants & Incentives ,Self Managed Super Funds,Startups,Wealth,Corporate Advisory,Payroll,Tax Advisory,Digital Transformation,Funding and Capital ,Wills and Estates,Home Loans,Investment Management,Superannuation,Financial Planning,Life Insurance ,Commercial Law,Manufacturing,Allied Health,Construction and Property,Franchising,Pharmacy,Retail & eCommerce,Family Law,Cash Flow Management,Paid Media,Asset Finance",201-500,"https://twitter.com/the_blue_rock, https://www.facebook.com/BeBlueRock","finance, insurance, advisory, digital, law, accounting, bookkeeping, placemaking, data insights, private wealth",,"Vimeo, Route 53, Google Plus, Cloudflare DNS, CloudFlare Hosting, Amazon CloudFront, The Trade Desk, Sendgrid, React, Active Campaign, Workable, Varnish, Typekit, Outlook, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Mailchimp Mandrill, Hubspot, Google Tag Manager, Google Play, CloudFlare, Amazon AWS, ASP.NET",,,,,402925,,,
R.M.Williams,https://www.linkedin.com/company/rmwilliams,https://www.linkedin.com/company/562179,rmwilliams.com,"In 1932 our founder, Reginald Murray Williams AO, CMG began to make bush saddlery and boots for sale, while camped at Nepabunna, in South Australia's remote Gammon Ranges.  Here R.M. first met 'Dollar Mick Smith'​, an itinerant saddler. The two men after much trial and error were able to fashion a pair of stockman's riding boots. Over 85 years on, R.M. Williams continues to make world renowned boots, accessories and men's and women's apparel that are purposefully designed and sustainable to enjoy on life's adventures.Today, R.M.Williams has  65 retail stores in Australia, 2 stores in New Zealand, 3 stores in the USA and 3 stores in the UK as well as over 900 stockists around the globe. R.M.Williams is a global company, yet will always remain passionate about the Australian bush.In 2020 Tattarang acquired 100% of R.M.Williams from L Catterton bringing the brand back into Australian hands for the first time since 2014. Tattarang is one of Australia's largest private investment groups owned by Andrew and Nicola Forrest. The investment of the Forrest family will ensure the Australian craftsmanship of R.M.Williams continues to be loved and worn all around the world.",,469,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,retail,,,,"Retail,Publishing",201-500,,,,,,,,,,,,
Hacer Group,https://www.linkedin.com/company/hacer-group,https://www.linkedin.com/company/2961526,hacer.com.au,"Hacer was established in 2000 to provide a fully integrated design and construct service. From the beginning, our focus has been on achieving excellence and innovation in end-to-end property  design and construction. We pride ourselves on delivering projects that are both cost efficient and of the highest standard – on time, every time. We provide a range of delivery systems, from fixed-price contract, to construction management, design and construct and project management and project development packaging. What’s more, we’re renowned for possessing a superior level of expertise and experience in the industry having successfully managed and completed projects for a range of major Australian companies, and winning awards for building excellence along the way. The Hacer DifferenceAt Hacer, we build from start to finish, ensuring optimum consistency, cost efficiency and quality of finishes on every project we take on. We work across a range of industries too, from retail and industrial to commercial, sport and recreation, multi-residential and health. Our most important point of difference, though, is that we instill confidence in our clients – because by choosing Hacer, you’re choosing a reliable, innovative and conscientious service, with outstanding results.",2000,226,"Kew, Victoria, Australia",,,Melbourne,,,"87 high st, kew, victoria, australia, 3101",3101,+61398106888,construction,,,,"Retail,Commercial,Residential,Medical,Sport/Recreational,Cinema/Entertainment",201-500,,"retail, entertainment, medical, sport, residential, commercial, cinema, recreational",,,,,,,,,,
Morgan Consulting,https://www.linkedin.com/company/morgan-consulting,https://www.linkedin.com/company/33894,morganconsulting.com.au,"Morgan is one of Australia's leading specialist recruitment agencies. We are known for our professional expertise, industry connections and personal approach.For more than 20 years, we’ve partnered with people and businesses to help them grow. We take the time to listen, make connections and make a difference. Everything we do is about positive change for people.We help clients create positive change in their organisations by sourcing and securing the right people.We help candidates create positive change in their careers, their lives, and the lives of their families. We help our people create change, professionally and personally.The way we work is a positive change for our industry. We are pioneers – embracing the new, being bold, making connections and working together.Our eyes are on the future. Forging a new path. Finding a new purpose.Change is more than possible. We believe change is positive. And we’re the people for the jobMorgan. Positive. Change. People.",,51,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,staffing and recruiting,,,,"Executive Search,Permanent Recruitment,Temporary Recruitment,Payrolling,Skills Assessment,Unbundled Services,Contract Recruitment,Contractor Recruitment,Contracting,Temp Recruitment,Construction Recruitment,IT Recruitment,Business Support Recruitment,Finance Recruitment,Engineering Recruitment,Sales Recruitment,Marketing Recruitment,Executive Recruitment,Retail Recruitment,Healthcare Recruitment,Legal Recruitment,Architecture Recruitment,Design Recruitment,Government Recruitment",51-200,,,,,,,,,,,,
CitrusAd,https://www.linkedin.com/company/citrusad,https://www.linkedin.com/company/18221597,citrusad.com,"CitrusAd has become the retail industry’s preferred Retail Media Platform for sponsored product ads, banners and email ads. Since becoming part of Epsilon, we now offer both on-site and off-site advertising to retailers and their supplier brands through a unified platform.CitrusAd is scalable, auction based advertising software built for e-commerce retailers. Our API keeps the e-commerce retailer in full control of when, where and how often ads are shown.We are growing fast and have team members in the Americas, EMEA and APAC. Check out our roles today. Please note, if applying for a role we will only arrange interviews via a citrusad.com, epsilon.com or @publicisgroupe.net email address. Approaches via LinkedIn may not be from a genuine CitrusAd or Epsilon team member.",2016,123,"West End, Queensland, Australia",,,South Brisbane,,,33 N LaSalle St,60602,+447977002884,advertising services,marketing and advertising,,,"sponsored search,sponsored products,product listing ads,ad platform,ecommerce advertising,advertising,saas,retail media,retail,marketing,ecommerce,display ads,banner ads,brand shops,email ads",51-200,https://twitter.com/ad_citrus?lang=en,"ecommerce, advertising, marketing, saas, retail, ecommerce advertising, display ads, product listing ads, retail media, banner ads, ad platform, sponsored search, sponsored products, brand shops, email ads",14500000,"Zendesk, WordPress.org, Wix, VueJS, Vimeo, Varnish, Route 53, Outlook, Nginx, Mobile Friendly, Microsoft Office 365, Hubspot, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, Google Cloud Hosting, Google Apps, Google AdSense, Gmail, CloudFlare, Atlassian Cloud, Amazon AWS","[{""id"":""5d33122680f93e2f517b9949"",""date"":""2017-01-01T00:00:00.000+00:00"",""type"":""Seed"",""amount"":""2M"",""currency"":""$"",""news_url"":""https:\/\/app.europeanstartups.co\/companies\/citrusad"",""investors"":""""}]",1442793,2017-01-01,0,,,,
McNab,https://www.linkedin.com/company/mcnab,https://www.linkedin.com/company/210640,mcnab.net.au,"McNab is one of the largest Construction, Development and Property groups in Australia, with turnover now exceeding $1bn each year. Despite our growth and size, we've never lost our small company DNA - which centres around genuine care for our staff, customers and all our stakeholders. Success for us isn't about awards or growth, it's when we deliver so well that our customers are proud to wear a McNab T-Shirt on weekends!We genuinely care. We make it easy. We deliver certainty. This is our promise - to our clients, and everyone we deal with. Delivering on these three things really, really well is what drives us at McNab. Everything we do, from recruiting and training to performance and promotion, centres around this promise.  We leverage the entire McNab Group to deliver certainty for our clients at a time of unprecedented uncertainty in the industry. And our approach works. From delivering our own property developments, to manufacturing our own building products, and a plethora of aligned business, your career at McNab goes well beyond traditional construction roles. ",1996,438,"West End, Queensland, Australia",,,South Brisbane,,,,,+610746200700,building construction,construction,,,"Aged Care and Retirement,Residential,Industrial and Agribusiness,Refurbishments,Health,Retail,Commercial,Schools,University,Food and processing,Pharma,Industrial,Building Products,Developments,Property,Construction Hire",201-500,"https://twitter.com/McNabConstruct, https://www.facebook.com/mcnabcon","retail, health, pharma, industrial, residential, commercial, university, schools, refurbishments, aged care & retirement, industrial & agribusiness, food & processing",24522000,"Squarespace ECommerce, Outlook, Mobile Friendly, Microsoft Office 365, Google Tag Manager, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences",,,,,,,,info@mcnab.net.au
ENGIE AU,https://www.linkedin.com/company/engie-au,https://www.linkedin.com/company/13682223,engie.com.au,"ENGIE is committed to take on the major challenges of the energy revolution, towards a world more decarbonised, decentralised and digitised. The Group aims at becoming the leader of this new energy world by focusing on three key activities for the future: low carbon generation, in particular from natural gas and renewable energies, energy infrastructures and efficient solutions adapted to all its clients'​ needs (individuals, businesses, territories, etc.). The customers'​ satisfaction, innovation and digital are at the heart of ENGIE's development.In Australia, the company operates about 1,000 MW (gross) of renewable (wind turbine) and gas-fired generating plants in South Australia and Western Australia. Our retail business, has more than 660, 000 customer accounts in Victoria, South Australia, New South Wales, Western Australia, the Australian Capital Territory and Queensland.",,339,"Southbank, Victoria, Australia",,,Southbank,,,525 Collins St,3000,1300577353,utilities,oil and energy,,,"Energy retail,Energy solutions,Facility management,Smart energy,Energy services",201-500,,"renewables, facility management, smart energy, energy services, energy solutions, energy retail",,,,,,,,,,
General Pants Co.,https://www.linkedin.com/company/general-pants-group,https://www.linkedin.com/company/518627,generalpants.com.au,"We believe in a world with no boundaries, where you can explore your style and what you’re capable of. LED BY NONE is what we’re all about. Never defined, never boxed in, where individuality reigns and unites us.Since 1972, we empower individuals to re-think it all.Delving into style, music and art, our team of culturally connected buyers and creatives drive the latest trends and conversations. We exist to inspire our community, mix things up and bring together different genres, styles and ideas. By joining our team, you’re not an employee. You’re a defining part of our brand.Anchored in denim, we’re home to the world’s top denim brands including ksubi, Neuw, Levi’s, Abrand, Rolla’s, Insight and more. To us, denim is more than a fabric. It’s a statement about who we are. Limited by nothing, inspired by everything.Now in 62 stores across Australia and New Zealand, we’re growing rapidly with no plans to settle. ",1972,368,"Eveleigh, New South Wales, Australia",,,Alexandria,,,"1-3 mandible st, alexandria, new south wales 2015, au",2015,+61893260861,retail,,,,"Retail,Mens and Womens Fashion,Footwear,Accessories",201-500,"https://twitter.com/GeneralPants_, https://www.facebook.com/generalpantsco","retail, accessories, fashion, shopping, men's clothing, women's clothing, footwear, mens & womens fashion",,,,,,,95026,,,
Michael Hill,https://www.linkedin.com/company/michael-hill,https://www.linkedin.com/company/104755,michaelhill.com.au,"At Michael Hill, we are fuelled by our passion for helping people mark life’s moments– both big and small. Born from a lifelong love that began in a small town in New Zealand, Michael Hill has become synonymous with craft and creativity throughout it’s 45-year history. In the 1980s, Michael Hill expanded to Australia, and it is here that our head office and in-house workshop of master artisans were established. Now, Michael Hill has grown to encompass over 200 stores across three countries: New Zealand, Australia, and Canada. We are dedicated to sustainability and responsible sourcing, with clear goals outlined for 2030. With the launch of The Michael Hill Foundation, dedicated to empowering women and restoring and conserving nature,  we are striving to create positive impacts for our communities and environments.  ",,1568,"Norman Park, Queensland, Australia",,,Cannon Hill,,,,,,retail,,,,"retail,manufacturing,management,sales,finance,jewellery,IT,Property,Marketing,Advertising,Audit,Loss Prevention,Distribution,Supply Chain,business development,jewelry",1001-2000,,,,,,,,,,,,
